shock,var,h,med,p10,p90
fiscal_expansion,infl_q_ann,0,1.5193909504802168,-3.6566101488719953,10.144613895263255
fiscal_expansion,infl_q_ann,1,0.6999202157816145,0.12252701725475391,2.319765063465769
fiscal_expansion,infl_q_ann,2,1.1251561998015416,0.21748521140379373,3.445991194886196
fiscal_expansion,infl_q_ann,3,0.9041035885902178,0.361326826205686,2.142005600654698
fiscal_expansion,infl_q_ann,4,0.9295457706393924,0.3929146341675401,2.2524047667582163
fiscal_expansion,infl_q_ann,5,0.761267894450032,0.21592159536279518,1.84510519577972
fiscal_expansion,infl_q_ann,6,0.6660261522269013,0.1544568159729553,1.712050478545195
fiscal_expansion,infl_q_ann,7,0.5216389877189868,0.020746071725077902,1.4537463608953627
fiscal_expansion,infl_q_ann,8,0.42811324606458123,-0.08799681385263108,1.3540703257427111
fiscal_expansion,infl_q_ann,9,0.3445254327471262,-0.20586426680858488,1.1897296901881353
fiscal_expansion,infl_q_ann,10,0.26736724974791715,-0.270185146328227,1.078696496149724
fiscal_expansion,infl_q_ann,11,0.2038770267045748,-0.32340065354813735,0.9732838002749621
fiscal_expansion,infl_q_ann,12,0.15168927633575316,-0.3915176001243139,0.8165835213341788
fiscal_expansion,infl_q_ann,13,0.09661450139496008,-0.43815179183421427,0.7059013351593436
fiscal_expansion,infl_q_ann,14,0.05531256050011174,-0.5315896022469306,0.6129663994563171
fiscal_expansion,infl_q_ann,15,0.011507963745025981,-0.5593939216700928,0.573566156018384
fiscal_expansion,infl_q_ann,16,-0.014489384096425775,-0.5947469999563962,0.4959131079189981
fiscal_expansion,infl_q_ann,17,-0.0338298645262968,-0.6361550923943211,0.44423410171383887
fiscal_expansion,infl_q_ann,18,-0.056409479104289104,-0.6922246769827634,0.39646771798342245
fiscal_expansion,infl_q_ann,19,-0.07108511148034599,-0.6799090215962915,0.36181718735447177
fiscal_expansion,infl_q_ann,20,-0.0833179427709671,-0.6972108792222963,0.3273149356424587
fiscal_expansion,gdp_q_ann,0,-0.36346223032586134,-8.90345978017371,6.086738844915644
fiscal_expansion,gdp_q_ann,1,0.9005502641036612,0.19886735250669269,2.7919271738442832
fiscal_expansion,gdp_q_ann,2,1.0940279815454392,0.3793903316857296,2.7870124510941143
fiscal_expansion,gdp_q_ann,3,1.0251872167845186,0.44497864788342145,2.342392786191681
fiscal_expansion,gdp_q_ann,4,0.856280354061853,0.30175466728025696,1.9678808657177451
fiscal_expansion,gdp_q_ann,5,0.7622324839128161,0.23013799317698386,1.7853060255427309
fiscal_expansion,gdp_q_ann,6,0.6457564993798445,0.1365734152704305,1.632746469381777
fiscal_expansion,gdp_q_ann,7,0.5479255207329297,0.030100799212246836,1.4138701759060153
fiscal_expansion,gdp_q_ann,8,0.44786347682140715,-0.059261917989283604,1.2110076900752835
fiscal_expansion,gdp_q_ann,9,0.3549223003679215,-0.12889831774980204,1.0552205642275772
fiscal_expansion,gdp_q_ann,10,0.2769564832268884,-0.23486086827222166,0.9250882545374257
fiscal_expansion,gdp_q_ann,11,0.2089591414552298,-0.33864418673126817,0.8199486401368158
fiscal_expansion,gdp_q_ann,12,0.15443313737399808,-0.43196598659115804,0.7306177177013001
fiscal_expansion,gdp_q_ann,13,0.09898051806317726,-0.5268669218816556,0.6487942683505181
fiscal_expansion,gdp_q_ann,14,0.0508957429037732,-0.5725523711735208,0.5733690066268269
fiscal_expansion,gdp_q_ann,15,0.009001789675876037,-0.6221876369654195,0.5121999101033966
fiscal_expansion,gdp_q_ann,16,-0.02202581354460674,-0.6865893546196861,0.4626482812478293
fiscal_expansion,gdp_q_ann,17,-0.04762570611629385,-0.7084201456892006,0.4077931336121011
