time_period,yc_spot_5y
2004-09-30,3.3729396045254485
2004-12-31,3.102433361742873
2005-03-31,3.024397294938845
2005-06-30,2.7425547649202437
2005-09-30,2.6453898845099757
2005-12-31,2.966250748610217
2006-03-31,3.2144729046951888
2006-06-30,3.6455052503302112
2006-09-30,3.646781344824573
2006-12-31,3.6140307481362886
2007-03-31,3.872534119479149
2007-06-30,4.220433886102474
2007-09-30,4.22078676491872
2007-12-31,4.014093052635996
2008-03-31,3.5960960087056346
2008-06-30,4.1426791103991505
2008-09-30,4.183227789389629
2008-12-31,3.383904154530368
2009-03-31,2.843222677093704
2009-06-30,2.8670522330138586
2009-09-30,2.715508156352154
2009-12-31,2.567613358037374
2010-03-31,2.4155472568550094
2010-06-30,2.0036298489938225
2010-09-30,1.704999290642432
2010-12-31,1.9475449218738345
2011-03-31,2.531530823299824
2011-06-30,2.641336912497291
2011-09-30,1.8553587836265686
2011-12-31,1.7529303839437962
2012-03-31,1.4682093027570993
2012-06-30,1.1571375721169346
2012-09-30,0.7887855722863241
2012-12-31,0.7052018456175413
2013-03-31,0.8044324917754534
2013-06-30,0.7046000525546889
2013-09-30,0.9637697670696537
2013-12-31,0.9162054179122574
2014-03-31,0.8266304201972541
2014-06-30,0.617064849130987
2014-09-30,0.3466089587278922
2014-12-31,0.1971465055044781
2015-03-31,-0.03397808116325831
2015-06-30,0.0882822309335208
2015-09-30,0.10361965621850326
2015-12-31,-0.02773384947173288
2016-03-31,-0.2212058850898631
2016-06-30,-0.3644063557035373
2016-09-30,-0.5397622324666261
2016-12-31,-0.41296438317276773
2017-03-31,-0.3841663323637948
2017-06-30,-0.3530754188146917
2017-09-30,-0.2615461488680943
2017-12-31,-0.2913024294376525
2018-03-31,-0.01924341869832109
2018-06-30,-0.11557604208967709
2018-09-30,-0.19835225122039687
2018-12-31,-0.16801595236374195
2019-03-31,-0.33250348218269815
2019-06-30,-0.4944233318758843
2019-09-30,-0.7675231968181766
2019-12-31,-0.5931620027374239
2020-03-31,-0.6207828196462892
2020-06-30,-0.6242038774855234
2020-09-30,-0.6793195221526288
2020-12-31,-0.757375751168919
2021-03-31,-0.6689315394799106
2021-06-30,-0.5692018243046645
2021-09-30,-0.6768628733777469
2021-12-31,-0.5411333753601082
2022-03-31,-0.10445919874156948
2022-06-30,0.9246153094168975
2022-09-30,1.1223440613691698
2022-12-31,2.0436515331045197
2023-03-31,2.3876710767272646
2023-06-30,2.407891812746207
2023-09-30,2.6204535842184615
2023-12-31,2.4867324044451613
2024-03-31,2.2512940617142854
2024-06-30,2.487573127722222
2024-09-30,2.1809411432424244
2024-12-31,2.0583742135047616
2025-03-31,2.2824152432825398
2025-06-30,2.111617109412903
2025-09-30,2.222530336710606
2025-12-31,2.21909749509375
