time_period,yc_spot_1y
2004-09-30,2.2916667535368185
2004-12-31,2.2055644439722295
2005-03-31,2.21350096119311
2005-06-30,2.0672279265907063
2005-09-30,2.084327250385478
2005-12-31,2.477532720818225
2006-03-31,2.7729925512329285
2006-06-30,3.1174166309547235
2006-09-30,3.412694893812162
2006-12-31,3.5917544924182168
2007-03-31,3.8265175937537936
2007-06-30,4.115028622157787
2007-09-30,4.100710885818006
2007-12-31,3.9294500844185754
2008-03-31,3.5921785802168937
2008-06-30,4.080886797887272
2008-09-30,4.2157110360991945
2008-12-31,2.536724438863401
2009-03-31,1.177486593023292
2009-06-30,0.9572935793872472
2009-09-30,0.7473016504163617
2009-12-31,0.7863580505211196
2010-03-31,0.6466122714994349
2010-06-30,0.46491363535430247
2010-09-30,0.5198853779312533
2010-12-31,0.7390103491630102
2011-03-31,1.0143771791777538
2011-06-30,1.3622796406403228
2011-09-30,0.8177455730092058
2011-12-31,0.4305771224800058
2012-03-31,0.17500040122754093
2012-06-30,0.09456465957351502
2012-09-30,-0.042823022974083094
2012-12-31,-0.02280929486844846
2013-03-31,0.05043801286467213
2013-06-30,0.03299869295920473
2013-09-30,0.06761455273348575
2013-12-31,0.07295779409730424
2014-03-31,0.09102358745926595
2014-06-30,0.05590891237148146
2014-09-30,-0.046745916495140705
2014-12-31,-0.07415550072148758
2015-03-31,-0.19107351799245262
2015-06-30,-0.2563808952749823
2015-09-30,-0.28147212435611446
2015-12-31,-0.34059778032286403
2016-03-31,-0.4628205584051385
2016-06-30,-0.542110204946351
2016-09-30,-0.6504693915061651
2016-12-31,-0.762100666744095
2017-03-31,-0.7953792936740324
2017-06-30,-0.7409000453152006
2017-09-30,-0.724456099260458
2017-12-31,-0.7822414624914381
2018-03-31,-0.6718393120769638
2018-06-30,-0.6776723703319517
2018-09-30,-0.6653850299202058
2018-12-31,-0.7039966995708068
2019-03-31,-0.5956010811279476
2019-06-30,-0.62165374021382
2019-09-30,-0.7715982914566095
2019-12-31,-0.6702383127938005
2020-03-31,-0.6779279697819203
2020-06-30,-0.6174826982521057
2020-09-30,-0.6372423091255274
2020-12-31,-0.7270324244760122
2021-03-31,-0.6817923451480228
2021-06-30,-0.6869436935186485
2021-09-30,-0.7270800543433031
2021-12-31,-0.7711943532035069
2022-03-31,-0.6440142765325547
2022-06-30,-0.09147505928284842
2022-09-30,0.5990098632581939
2022-12-31,2.0034943889010672
2023-03-31,2.7882159535012936
2023-06-30,3.0694670557019275
2023-09-30,3.44153993286
2023-12-31,3.3355211236806452
2024-03-31,3.2256574667666666
2024-06-30,3.258066867679365
2024-09-30,2.834862513457576
2024-12-31,2.326711740726984
2025-03-31,2.1887812707793652
2025-06-30,1.8223808436435485
2025-09-30,1.8734979863651515
2025-12-31,1.909029295503125
