time_period,yc_spot_10y
2004-09-30,4.104689782281516
2004-12-31,3.849833619133443
2005-03-31,3.6350166365815584
2005-06-30,3.3925961671183127
2005-09-30,3.219840281194948
2005-12-31,3.376074399037907
2006-03-31,3.489213641791333
2006-06-30,3.9631550819000507
2006-09-30,3.8682708239826384
2006-12-31,3.7164676642034506
2007-03-31,3.973303103148168
2007-06-30,4.30722549289232
2007-09-30,4.369008058062881
2007-12-31,4.271672334877975
2008-03-31,4.0878190191359
2008-06-30,4.422914775521366
2008-09-30,4.456164737754982
2008-12-31,4.013350737163186
2009-03-31,3.85739491198038
2009-06-30,3.9795060676686322
2009-09-30,3.791580514318379
2009-12-31,3.6640460004496043
2010-03-31,3.581343668452457
2010-06-30,3.2453720076313552
2010-09-30,2.8000123508936046
2010-12-31,3.0002084447253705
2011-03-31,3.5031138451974635
2011-06-30,3.469630167030565
2011-09-30,2.8487038029927043
2011-12-31,2.792098700900147
2012-03-31,2.657780436052188
2012-06-30,2.293846299056385
2012-09-30,1.964736397151464
2012-12-31,1.8735259044430035
2013-03-31,1.9125447093660535
2013-06-30,1.7653227236493372
2013-09-30,2.0756464521561884
2013-12-31,2.069838255810585
2014-03-31,1.9455113116028058
2014-06-30,1.6427941606746257
2014-09-30,1.2210707331346273
2014-12-31,0.8924050068367995
2015-03-31,0.40850046292592834
2015-06-30,0.6300991095872169
2015-09-30,0.8021937929905347
2015-12-31,0.6707176344868149
2016-03-31,0.4224047367423391
2016-06-30,0.1694743636734275
2016-09-30,-0.09833925189225456
2016-12-31,0.20690806230104364
2017-03-31,0.3973606744534246
2017-06-30,0.3783070480352823
2017-09-30,0.49328169513007836
2017-12-31,0.4464118749851442
2018-03-31,0.6698871331841512
2018-06-30,0.5516361967897473
2018-09-30,0.4158599294690247
2018-12-31,0.43392365325324983
2019-03-31,0.17814197320119848
2019-06-30,-0.05731229776325718
2019-09-30,-0.46673565351931307
2019-12-31,-0.30765027382001464
2020-03-31,-0.3628481218254653
2020-06-30,-0.36442927624418575
2020-09-30,-0.4460231716586227
2020-12-31,-0.5516051181166446
2021-03-31,-0.4000978303998937
2021-06-30,-0.18983332209314527
2021-09-30,-0.3656064421654828
2021-12-31,-0.2252755895623563
2022-03-31,0.18414075011141454
2022-06-30,1.169556362145514
2022-09-30,1.4193953526711043
2022-12-31,2.2112011038890684
2023-03-31,2.397850704514189
2023-06-30,2.467521580341214
2023-09-30,2.6550552176123077
2023-12-31,2.609480043682258
2024-03-31,2.3761142375682542
2024-06-30,2.5575987755809524
2024-09-30,2.3770724244833334
2024-12-31,2.3547174680476193
2025-03-31,2.6506591565126985
2025-06-30,2.6466722020596776
2025-09-30,2.7644954884166664
2025-12-31,2.7194489261375
