date,hicp_index_q,infl_q_ann,gdp_q_ann,policy_rate,gg_deficit_pct_gdp,gg_debt_pct_gdp,yc_spot_1y,yc_spot_5y,yc_spot_10y,level,slope_10y_1y,curvature_ns_like,gdp_q_ann_original
2004-09-30,83.14333333333333,0.369011116558459,0.8756418577639927,4.25,-2.997,71.157,2.2916667535368185,3.3729396045254485,4.104689782281516,3.2564320467812613,1.8130230287446971,0.3495226732325625,0.8756418577639927
2004-12-31,83.65666666666667,2.462038148570438,1.7982567702588288,4.25,-2.897,69.719,2.205564443972229,3.102433361742873,3.849833619133443,3.0526104749495153,1.644269175161214,0.1494686603800739,1.7982567702588288
2005-03-31,83.73,0.3504859233319785,1.0578565906922497,4.25,-2.884,71.06,2.21350096119311,3.024397294938845,3.6350166365815584,2.957638297571171,1.4215156753884486,0.20027699210302163,1.0578565906922497
2005-06-30,84.75,4.843364017687607,2.4903088579982,4.25,-2.915,71.692,2.0672279265907063,2.742554764920244,3.3925961671183127,2.7341262862097544,1.3253682405276064,0.025285436131469385,2.4903088579982
2005-09-30,85.06,1.4604574259711531,2.97269087363386,4.25,-2.706,71.176,2.084327250385478,2.645389884509976,3.219840281194948,2.6498524720301337,1.1355130308094696,-0.013387762560473693,2.97269087363386
2005-12-31,85.61,2.5780835715627064,2.7543828385824787,4.25,-2.655,70.344,2.477532720818225,2.966250748610217,3.376074399037907,2.939952622822117,0.898541678219682,0.0788943773643016,2.7543828385824787
2006-03-31,85.67666666666666,0.3113688710528219,3.718437121886864,4.25,-2.266,70.639,2.7729925512329285,3.2144729046951888,3.489213641791333,3.15889303257315,0.7162210905584043,0.16673961636611612,3.718437121886864
2006-06-30,86.83666666666666,5.37937542897072,4.412306581093776,4.25,-1.902,70.423,3.1174166309547235,3.6455052503302112,3.9631550819000503,3.5753589877283285,0.8457384509453267,0.21043878780564862,4.412306581093776
2006-09-30,86.90333333333335,0.3069721189760749,2.1759225345836306,4.25,-1.71,69.871,3.412694893812162,3.646781344824573,3.8682708239826384,3.6425823542064584,0.45557593017047626,0.012596971854345718,2.1759225345836306
2006-12-31,87.13333333333333,1.0572490880473666,4.661492751690319,4.25,-1.587,68.302,3.5917544924182168,3.614030748136289,3.71646766420345,3.640750968252652,0.12471317178523345,-0.08016066034908897,4.661492751690319
2007-03-31,87.28000000000002,0.6727316011214935,2.746911823826064,4.25,-1.434,68.509,3.8265175937537936,3.872534119479149,3.973303103148168,3.8907849387937037,0.14678550939437418,-0.054752457943663124,2.746911823826064
2007-06-30,88.48,5.462078499683657,2.7096119871987185,4.25,-1.158,68.534,4.115028622157787,4.220433886102474,4.30722549289232,4.214229333717527,0.1921968707345325,0.01861365715484098,2.7096119871987185
2007-09-30,88.54,0.2711558119881586,1.565399078064025,4.25,-0.939,67.557,4.100710885818006,4.22078676491872,4.369008058062881,4.2301685695998685,0.2682971722448748,-0.028145414043446948,1.565399078064025
2007-12-31,89.64999999999999,4.983509098858676,2.0317972310082166,4.25,-0.744,65.924,3.929450084418576,4.014093052635996,4.271672334877975,4.071738490644182,0.342222250459399,-0.17293631402455922,2.0317972310082166
2008-03-31,90.20666666666666,2.476053646498672,2.5097792819565146,4.25,-0.845,66.779,3.5921785802168937,3.5960960087056346,4.0878190191359,3.7586978693528095,0.4956404389190059,-0.4878055819415241,2.5097792819565146
2008-06-30,91.68666666666668,6.509453140425457,-1.968288007190138,4.25,-1.198,67.086,4.080886797887272,4.142679110399151,4.422914775521366,4.2154935612692634,0.34202797763409354,-0.21844335261033532,-1.968288007190138
2008-09-30,91.94,1.1036893438519824,-2.1720084215174404,4.25,-1.539,67.13,4.2157110360991945,4.183227789389629,4.456164737754982,4.285034521081268,0.24045370165578728,-0.3054201950749187,-2.1720084215174404
2008-12-31,91.7,-1.0455244462651054,-6.882732610049626,2.5,-2.26,69.576,2.536724438863401,3.383904154530368,4.013350737163186,3.311326443518985,1.4766262982997844,0.21773313303414898,-6.882732610049626
2009-03-31,91.07,-2.757575073076817,-12.493339548802954,1.5,-3.02,73.549,1.177486593023292,2.843222677093704,3.85739491198038,2.626034727365792,2.6799083189570876,0.6515638491837366,-12.493339548802954
2009-06-30,91.84333333333332,3.382314135475338,-0.0009379854333965,1.0,-4.161,76.943,0.9572935793872472,2.8670522330138586,3.979506067668632,2.601283960023246,3.022212488281385,0.7973048189718379,-0.0009379854333965
2009-09-30,91.59333333333332,-1.0902952362892742,1.446582872651008,1.0,-5.296,78.983,0.7473016504163617,2.715508156352154,3.791580514318379,2.418130107028965,3.0442788639020177,0.8921341479695672,1.446582872651008
2009-12-31,92.09,2.163148362233321,1.7241568009445547,1.0,-6.256,80.02,0.7863580505211196,2.567613358037374,3.664046000449604,2.3393391363360325,2.877687949928484,0.6848226651040248,1.7241568009445547
2010-03-31,92.09666666666664,0.0289561314734931,1.602182499362058,1.0,-6.692,81.693,0.6466122714994349,2.4155472568550094,3.581343668452457,2.2145010656023003,2.9347313969530218,0.6031385737581272,1.602182499362058
2010-06-30,93.31666666666666,5.263990825933377,3.705762137131758,1.0,-6.607,82.96,0.4649136353543024,2.0036298489938225,3.2453720076313552,1.9046384973264932,2.780458372277053,0.29697405500198704,3.705762137131758
2010-09-30,93.17333333333332,-0.6148677636623531,1.7689500795144542,1.0,-6.752,83.068,0.5198853779312533,1.704999290642432,2.800012350893605,1.6749656731557636,2.2801269729623517,0.09010085246000576,1.7689500795144542
2010-12-31,93.95333333333332,3.334658951047419,2.3538046495464595,1.0,-6.322,85.429,0.7390103491630102,1.9475449218738343,3.0002084447253705,1.8955879052540716,2.26119809556236,0.15587104985928812,2.3538046495464595
2011-03-31,94.37,1.7700083751945577,3.754456258245852,1.0,-5.637,86.069,1.0143771791777538,2.531530823299824,3.5031138451974635,2.349673949225014,2.48873666601971,0.5455706222244303,3.754456258245852
2011-06-30,95.88333333333333,6.363579443180431,0.0178312077255919,1.25,-5.276,86.805,1.3622796406403228,2.641336912497291,3.469630167030565,2.4910822400560595,2.107350526390242,0.450764017323694,0.0178312077255919
2011-09-30,95.68333333333334,-0.8352186782626064,0.0989436001214259,1.5,-4.524,86.738,0.8177455730092058,1.8553587836265688,2.8487038029927043,1.8406027198761599,2.0309582299834985,0.044268191251227496,0.0989436001214259
2011-12-31,96.71333333333332,4.282859398844021,-1.2414684367470654,1.0,-4.243,87.252,0.4305771224800058,1.7529303839437962,2.792098700900147,1.6585354024413164,2.3615215784201413,0.2831849445074397,-1.2414684367470654
2012-03-31,96.90666666666668,0.7988158148420305,-1.05651474292559,1.0,-4.119,88.082,0.1750004012275409,1.4682093027570993,2.657780436052188,1.433663380012276,2.482780034824647,0.1036377682344698,-1.05651474292559
2012-06-30,98.24333333333334,5.479631341507602,-1.359221918005889,1.0,-4.086,89.705,0.094564659573515,1.1571375721169346,2.293846299056385,1.1818495102489448,2.19928163948287,-0.07413581439603067,-1.359221918005889
2012-09-30,98.12,-0.5024699772927621,-0.5618602993978429,0.75,-3.938,89.792,-0.042823022974083,0.7887855722863241,1.964736397151464,0.9035663154879017,2.007559420125547,-0.34434222960473293,-0.5618602993978429
2012-12-31,98.94,3.3289545637095825,-1.661753995523966,0.75,-3.867,90.758,-0.0228092948684484,0.7052018456175413,1.8735259044430037,0.8519728183973655,1.8963351993114521,-0.4403129183394727,-1.661753995523966
2013-03-31,98.70666666666666,-0.9444467571098476,-1.3724772505742204,0.75,-3.922,92.728,0.0504380128646721,0.8044324917754534,1.9125447093660533,0.9224717380020596,1.862106696501381,-0.35411773867981866,-1.3724772505742204
2013-06-30,99.62,3.6841834953397865,2.599375648533613,0.5,-3.706,93.658,0.0329986929592047,0.7046000525546889,1.7653227236493372,0.8343071563877436,1.7323240306901324,-0.38912131149916407,2.599375648533613
2013-09-30,99.44,-0.7234001770726962,1.168817187045373,0.5,-3.635,92.938,0.0676145527334857,0.9637697670696536,2.0756464521561884,1.0356769239864425,2.008031899422703,-0.21572147075036696,1.168817187045373
2013-12-31,99.74333333333334,1.218309033199299,0.8857847111636772,0.25,-3.212,92.752,0.0729577940973042,0.9162054179122574,2.069838255810585,1.0196671559400488,1.9968804617132807,-0.3103852140833745,0.8857847111636772
2014-03-31,99.34666666666664,-1.593921107214826,1.8119597402606344,0.25,-2.946,93.643,0.0910235874592659,0.8266304201972541,1.9455113116028055,0.9543884397531085,1.8544877241435396,-0.38327405866756337,1.8119597402606344
2014-06-30,100.18333333333334,3.354569519857832,0.96528308983959,0.15,-2.784,94.157,0.0559089123714814,0.617064849130987,1.6427941606746257,0.7719226407256979,1.5868852483031444,-0.46457337478413296,0.96528308983959
2014-09-30,99.79,-1.5735451683360755,1.939441771235004,0.05,-2.609,93.385,-0.0467459164951407,0.3466089587278922,1.221070733134627,0.5069779251224595,1.2678166496297678,-0.481106899183702,1.939441771235004
