date,infl_q_ann,gdp_q_ann,policy_rate,gg_deficit_pct_gdp,gg_debt_pct_gdp,yc_spot_1y,yc_spot_5y,yc_spot_10y,level,slope_10y_1y,curvature_ns_like
2004-09-30,0.369011116558459,0.901422677695022,4.25,-2.997,71.161,2.2916667535368185,3.3729396045254485,4.104689782281516,3.2564320467812613,1.8130230287446971,0.3495226732325625
2004-12-31,2.462038148570438,1.774909985484469,4.25,-2.897,69.721,2.205564443972229,3.102433361742873,3.849833619133443,3.0526104749495153,1.644269175161214,0.1494686603800739
2005-03-31,0.3504859233319785,1.0656932893933415,4.25,-2.885,71.059,2.21350096119311,3.024397294938845,3.6350166365815584,2.957638297571171,1.4215156753884486,0.20027699210302163
2005-06-30,4.843364017687607,2.4742315485141377,4.25,-2.917,71.692,2.0672279265907063,2.742554764920244,3.3925961671183127,2.7341262862097544,1.3253682405276064,0.025285436131469385
2005-09-30,1.4604574259711531,2.972809461356809,4.25,-2.711,71.186,2.084327250385478,2.645389884509976,3.219840281194948,2.6498524720301337,1.1355130308094696,-0.013387762560473693
2005-12-31,2.5780835715627064,2.7565762831092764,4.25,-2.655,70.347,2.477532720818225,2.966250748610217,3.376074399037907,2.939952622822117,0.898541678219682,0.0788943773643016
2006-03-31,0.3113688710528219,3.764905685937995,4.25,-2.272,70.639,2.7729925512329285,3.2144729046951888,3.489213641791333,3.15889303257315,0.7162210905584043,0.16673961636611612
2006-06-30,5.37937542897072,4.373397968263721,4.25,-1.91,70.424,3.1174166309547235,3.6455052503302112,3.9631550819000503,3.5753589877283285,0.8457384509453267,0.21043878780564862
2006-09-30,0.3069721189760749,2.167353340150145,4.25,-1.717,69.876,3.412694893812162,3.646781344824573,3.8682708239826384,3.6425823542064584,0.45557593017047626,0.012596971854345718
2006-12-31,1.0572490880473666,4.645470270094706,4.25,-1.587,68.303,3.5917544924182168,3.614030748136289,3.71646766420345,3.640750968252652,0.12471317178523345,-0.08016066034908897
2007-03-31,0.6727316011214935,2.811163118032354,4.25,-1.428,68.511,3.8265175937537936,3.872534119479149,3.973303103148168,3.8907849387937037,0.14678550939437418,-0.054752457943663124
2007-06-30,5.462078499683657,2.680341705229764,4.25,-1.15,68.54,4.115028622157787,4.220433886102474,4.30722549289232,4.214229333717527,0.1921968707345325,0.01861365715484098
2007-09-30,0.2711558119881586,1.5370399885646495,4.25,-0.932,67.564,4.100710885818006,4.22078676491872,4.369008058062881,4.2301685695998685,0.2682971722448748,-0.028145414043446948
2007-12-31,4.983509098858676,2.022784377368652,4.25,-0.744,65.931,3.929450084418576,4.014093052635996,4.271672334877975,4.071738490644182,0.342222250459399,-0.17293631402455922
2008-03-31,2.476053646498672,2.553318184381759,4.25,-0.844,66.784,3.5921785802168937,3.5960960087056346,4.0878190191359,3.7586978693528095,0.4956404389190059,-0.4878055819415241
2008-06-30,6.509453140425457,-1.9519118990672195,4.25,-1.198,67.09,4.080886797887272,4.142679110399151,4.422914775521366,4.2154935612692634,0.34202797763409354,-0.21844335261033532
2008-09-30,1.1036893438519824,-2.1851265219768887,4.25,-1.538,67.135,4.2157110360991945,4.183227789389629,4.456164737754982,4.285034521081268,0.24045370165578728,-0.3054201950749187
2008-12-31,-1.0455244462651054,-6.961097311798936,2.5,-2.26,69.581,2.536724438863401,3.383904154530368,4.013350737163186,3.311326443518985,1.4766262982997844,0.21773313303414898
2009-03-31,-2.757575073076817,-12.477317115299725,1.5,-3.018,73.557,1.177486593023292,2.843222677093704,3.85739491198038,2.626034727365792,2.6799083189570876,0.6515638491837366
2009-06-30,3.382314135475338,0.0225364505004256,1.0,-4.158,76.953,0.9572935793872472,2.8670522330138586,3.979506067668632,2.601283960023246,3.022212488281385,0.7973048189718379
2009-09-30,-1.0902952362892742,1.4831330991332567,1.0,-5.297,78.993,0.7473016504163617,2.715508156352154,3.791580514318379,2.418130107028965,3.0442788639020177,0.8921341479695672
2009-12-31,2.163148362233321,1.759714599944095,1.0,-6.257,80.031,0.7863580505211196,2.567613358037374,3.664046000449604,2.3393391363360325,2.877687949928484,0.6848226651040248
2010-03-31,0.0289561314734931,1.5306141738829253,1.0,-6.68,81.701,0.6466122714994349,2.4155472568550094,3.581343668452457,2.2145010656023003,2.9347313969530218,0.6031385737581272
2010-06-30,5.263990825933377,3.724269167023592,1.0,-6.581,82.967,0.4649136353543024,2.0036298489938225,3.2453720076313552,1.9046384973264932,2.780458372277053,0.29697405500198704
2010-09-30,-0.6148677636623531,1.7771866739314874,1.0,-6.713,83.079,0.5198853779312533,1.704999290642432,2.800012350893605,1.6749656731557636,2.2801269729623517,0.09010085246000576
2010-12-31,3.334658951047419,2.35338875081785,1.0,-6.322,85.441,0.7390103491630102,1.9475449218738343,3.0002084447253705,1.8955879052540716,2.26119809556236,0.15587104985928812
2011-03-31,1.7700083751945577,3.777968179607434,1.0,-5.635,86.079,1.0143771791777538,2.531530823299824,3.5031138451974635,2.349673949225014,2.48873666601971,0.5455706222244303
2011-06-30,6.363579443180431,-0.013993004964992,1.25,-5.272,86.816,1.3622796406403228,2.641336912497291,3.469630167030565,2.4910822400560595,2.107350526390242,0.450764017323694
2011-09-30,-0.8352186782626064,0.0746612569284834,1.5,-4.521,86.75,0.8177455730092058,1.8553587836265688,2.8487038029927043,1.8406027198761599,2.0309582299834985,0.044268191251227496
2011-12-31,4.282859398844021,-1.2404638874770315,1.0,-4.243,87.267,0.4305771224800058,1.7529303839437962,2.792098700900147,1.6585354024413164,2.3615215784201413,0.2831849445074397
2012-03-31,0.7988158148420305,-0.965897765440338,1.0,-4.116,88.09,0.1750004012275409,1.4682093027570993,2.657780436052188,1.433663380012276,2.482780034824647,0.1036377682344698
2012-06-30,5.479631341507602,-1.437946397851431,1.0,-4.078,89.715,0.094564659573515,1.1571375721169346,2.293846299056385,1.1818495102489448,2.19928163948287,-0.07413581439603067
2012-09-30,-0.5024699772927621,-0.5285658110019787,0.75,-3.927,89.805,-0.042823022974083,0.7887855722863241,1.964736397151464,0.9035663154879017,2.007559420125547,-0.34434222960473293
2012-12-31,3.3289545637095825,-1.7264726850066587,0.75,-3.868,90.772,-0.0228092948684484,0.7052018456175413,1.8735259044430037,0.8519728183973655,1.8963351993114521,-0.4403129183394727
2013-03-31,-0.9444467571098476,-1.3286415582596989,0.75,-3.919,92.74,0.0504380128646721,0.8044324917754534,1.9125447093660533,0.9224717380020596,1.862106696501381,-0.35411773867981866
2013-06-30,3.6841834953397865,2.61650911515702,0.5,-3.699,93.67,0.0329986929592047,0.7046000525546889,1.7653227236493372,0.8343071563877436,1.7323240306901324,-0.38912131149916407
2013-09-30,-0.7234001770726962,1.177026830901711,0.5,-3.632,92.951,0.0676145527334857,0.9637697670696536,2.0756464521561884,1.0356769239864425,2.008031899422703,-0.21572147075036696
2013-12-31,1.218309033199299,0.8305662131900456,0.25,-3.212,92.763,0.0729577940973042,0.9162054179122574,2.069838255810585,1.0196671559400488,1.9968804617132807,-0.3103852140833745
2014-03-31,-1.593921107214826,1.870736440752519,0.25,-2.946,93.652,0.0910235874592659,0.8266304201972541,1.9455113116028055,0.9543884397531085,1.8544877241435396,-0.38327405866756337
2014-06-30,3.354569519857832,0.9428191206578952,0.15,-2.785,94.168,0.0559089123714814,0.617064849130987,1.6427941606746257,0.7719226407256979,1.5868852483031444,-0.46457337478413296
2014-09-30,-1.5735451683360755,1.9384791420151888,0.05,-2.613,93.396,-0.0467459164951407,0.3466089587278922,1.221070733134627,0.5069779251224595,1.2678166496297678,-0.481106899183702
2014-12-31,0.4673755727117146,1.5014988745944056,0.05,-2.528,92.942,-0.0741555007214875,0.1971465055044781,0.8924050068367995,0.33846533720659666,0.9665605075582869,-0.4239564951063558
2015-03-31,-3.5254329179157025,2.991523471200217,0.05,-2.419,93.632,-0.1910735179924526,-0.0339780811632583,0.4085004629259283,0.06114962125673914,0.5995739809183809,-0.2853831072599923
2015-06-30,6.371284211984494,1.6993208481726232,0.05,-2.332,92.904,-0.2563808952749823,0.0882822309335208,0.6300991095872169,0.1540001484152518,0.8864800048621992,-0.197153752445193
2015-09-30,-1.7396816984444416,1.7178819195869308,0.05,-2.086,92.157,-0.2814721243561144,0.1036196562185032,0.8021937929905347,0.2081137749509745,1.0836659173466492,-0.31348235619741394
2015-12-31,-0.0798615735382456,1.9676237325352472,0.05,-2.009,91.014,-0.340597780322864,-0.0277338494717328,0.6707176344868149,0.10079533489740604,1.0113154148096788,-0.3855875531074165
2016-03-31,-4.336375992173702,1.8990528520009788,0.0,-1.851,91.993,-0.4628205584051385,-0.2212058850898631,0.4224047367423391,-0.08720723558422085,0.8852252951474776,-0.40199594851692677
2016-06-30,5.718391253546732,0.7759327131495048,0.0,-1.674,91.879,-0.542110204946351,-0.3644063557035373,0.1694743636734275,-0.24568073232548693,0.7115845686197785,-0.3561768701341511
2016-09-30,-0.2521273326462547,1.9347290135893769,0.0,-1.684,90.783,-0.6504693915061651,-0.5397622324666261,-0.0983392518922545,-0.4295236252883486,0.5521301396139107,-0.33071582153483264
2016-12-31,1.7879936398317968,3.042932851683392,0.0,-1.473,89.939,-0.762100666744095,-0.4129643831727677,0.2069080623010436,-0.3227189958719397,0.9690087290451387,-0.27073616190248395
2017-03-31,-0.3701867724141437,3.210734540775369,0.0,-1.327,90.12,-0.7953792936740324,-0.3841663323637948,0.3973606744534246,-0.2607283171948009,1.1927399681274569,-0.3703140455069819
2017-06-30,4.890454317793394,2.6483818912070904,0.0,-1.322,90.006,-0.7409000453152006,-0.3530754188146917,0.3783070480352823,-0.23855613869820327,1.119207093350483,-0.34355784034946507
